Mcule ID,SMILES,Similarity to hit - Tanimoto coefficient
MCULE-6603704213-0,CCOC1=C2C(C=CC=C2)=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1,0.715
MCULE-9657967812-0,N1C(=CSC=1NC1=CC=C(C=N1)C)C1C(C)=CC(=C(C)C=1)C,0.714
MCULE-9686844931-0,N1C(=CSC=1NC1=CC=C(C=N1)C)C1=CC(C)=CC=C1C,0.714
MCULE-2478486167-0,C1(NC2C=CC(C)=CN=2)SC(=C(C2C=CC(=CC=2)C)N=1)C,0.714
MCULE-3707466374-0,C1(SC=C(C2=CC=CC(Br)=C2)N=1)NC1C=CC(=CN=1)C,0.714
MCULE-9577079959-0,C1(SC=C(C2C=CC(=C(C)C=2)OC)N=1)NC1=CC=CC(C)=N1,0.713
MCULE-2825649807-0,CC(NCC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1)=O.Cl,0.713
MCULE-5001287994-0,C1(SC=C(C2=CC=C(C)C=C2C)N=1)NC1C=CC(=CN=1)Cl,0.713
MCULE-8284431151-0,N1C(=CSC=1NC1C=CC(=CN=1)Cl)C1=CC=CC=C1Cl,0.713
MCULE-9565174459-0,C1(SC=C(C2C=CC(=CC=2)F)N=1)NC1=CC=C(C=N1)Cl,0.713
MCULE-6951297990-0,N1C(=CSC=1NC1=CC=CC=N1)C1=CC=C(C=C1Cl)Cl,0.713
MCULE-6798893576-0,N1C(=CSC=1NC1C=CC(=CN=1)C)C1=CC=CC=C1Cl,0.712
MCULE-4962664981-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=CC=C1OCC,0.712
MCULE-3883314324-0,CNC1SC=C(C2N=CC(Cl)=CC=2)N=1,0.711
MCULE-1061087875-0,C1(NC2C=CC=C(C)N=2)SC(=C(C2C=CC(=CC=2)Br)N=1)C,0.711
MCULE-3688725977-0,C1(SC=C(C2=CC=CN=C2)N=1)NC1=C(C=CC=N1)C,0.711
MCULE-7647676829-0,N1C(=CSC=1NC1=CC=CC=N1)C1C=CC(=CC=1F)F.Cl[H],0.711
MCULE-1906523839-0,FC1=CC(C2N=C(NC3=NC=CC=C3)SC=2)=C(F)C=C1,0.711
MCULE-7982820812-0,C1(SC=C(C2=CC=CC(Br)=C2)N=1)NC1C(=CC=CN=1)C,0.710
MCULE-3579464116-0,C1(SC=C(C2C=CC=C(Cl)C=2)N=1)NC1=CC=C(C=N1)F,0.710
MCULE-3488894198-0,C1(SC=C(C2C=CC(=CC=2)OC)N=1)NC1=CC=C(C=N1)C,0.710
MCULE-3521115396-0,C1(SC=C(C2=CC=C(C=C2)OC(C)=O)N=1)NC1=CC=CC(C)=N1,0.709
MCULE-7828080000-0,C1(SC=C(C2C=CC(=CC=2)CC)N=1)NC1=CC=C(C=N1)Br,0.708
MCULE-4077728193-0,C1(SC=C(C2=CC=CC(=C2)NC(C)=O)N=1)NC1=CC=CC=N1,0.708
MCULE-5855825730-0,C1(SC=C(C2C=CC(=C(Cl)C=2)Cl)N=1)NC1=CC=C(C=N1)Cl,0.708
MCULE-3932288841-0,C1(=C(C)N=C2C=CC=CN12)C1=CSC(NC2C=C(C)C=CN=2)=N1,0.708
MCULE-7368709716-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1OC)OC,0.707
MCULE-8440925504-0,C1(SC=C(C2C=CC(=C(Cl)C=2)Cl)N=1)NC1=CC=C(C=N1)C,0.707
MCULE-3506587251-0,N(C1=NC=CC=C1)C1SC=C(C2C3=C(C=CC=C3)NC=2)N=1,0.707
MCULE-2711473686-0,C1(SC=C(C2=CC=CC=C2Cl)N=1)NC1C(=CC=CN=1)C,0.707
MCULE-6645630061-0,N1C(=CSC=1NC1=CC=CC(C)=N1)C1=CC=CS1,0.707
MCULE-7684282948-0,N1C(=CSC=1NC1=CC=CC=N1)C1C=CC(=CC=1O)O,0.706
MCULE-6824578367-0,Cl.FC1=CC(C2N=C(NC3=NC=CC=C3)SC=2)=C(F)C=C1,0.706
MCULE-5778199153-0,C1(SC=C(C2C=CC(=C(O)C=2)O)N=1)NC1=CC=C(C=N1)C,0.706
MCULE-3649390439-0,CCN(S(C)(=O)=O)C1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1,0.706
MCULE-1381237989-0,C1(SC=C(C2C=CC(=CC=2)OC)N=1)NC1=C(C=CC=N1)C,0.706
MCULE-9025856946-0,C1(SC=C(C2C=CC(=CC=2)OC)N=1)NC1=CC=C(C=N1)C.Cl,0.706
MCULE-7253478955-0,C1(=C(C)N=C2C=CC=CN12)C1=CSC(NC2C=C(C)C=CN=2)=N1.Br,0.704
MCULE-2488828738-0,N1C(=CSC=1NC1=CC=C(C=N1)F)C1C(C)=CC(=C(C)C=1)C,0.704
